model,roc_auc,f1,business_cost,threshold,score
XGBoost,0.8630511594065318,0.6624293785310734,3282,0.5900000000000001,1.0594859333656896
Logistic Regression,0.8597593474223817,0.6576036866359447,3254,0.6000000000000001,1.0553440080750807
CatBoost,0.8631487788367693,0.6617046818727491,3373,0.5900000000000001,1.0459382257244267
LightGBM,0.8514791205068434,0.6474236641221374,3526,0.55,0.9982638523558016
Random Forest,0.8299381626410027,0.6225309311916648,3479,0.36000000000000004,0.9585034541904698
